"시도별(1)","장애유형별(1)","시점","장애정도별(1)","항목",데이터
"전국","호흡기","2021","심한장애","소계",11137
"전국","호흡기","2021","심한장애","남자",8259
"전국","호흡기","2021","심한장애","여자",2878
"전국","호흡기","2021","심하지않은장애","소계",404
"전국","호흡기","2021","심하지않은장애","남자",244
"전국","호흡기","2021","심하지않은장애","여자",160
"전국","호흡기","2022","총계","소계",11451
"전국","호흡기","2022","총계","남자",8433
"전국","호흡기","2022","총계","여자",3018
"전국","호흡기","2022","심한장애","소계",10981
"전국","호흡기","2022","심한장애","남자",8147
"전국","호흡기","2022","심한장애","여자",2834
"전국","호흡기","2022","심하지않은장애","소계",470
"전국","호흡기","2022","심하지않은장애","남자",286
"전국","호흡기","2022","심하지않은장애","여자",184
"전국","간","2019","총계","소계",13154
"전국","간","2019","총계","남자",9309
"전국","간","2019","총계","여자",3845
"전국","간","2019","심한장애","소계",863
"전국","간","2019","심한장애","남자",630
"전국","간","2019","심한장애","여자",233
"전국","간","2019","심하지않은장애","소계",12291
"전국","간","2019","심하지않은장애","남자",8679
"전국","간","2019","심하지않은장애","여자",3612
"전국","간","2020","총계","소계",13808
"전국","간","2020","총계","남자",9720
"전국","간","2020","총계","여자",4088
"전국","간","2020","심한장애","소계",779
"전국","간","2020","심한장애","남자",555
"전국","간","2020","심한장애","여자",224
"전국","간","2020","심하지않은장애","소계",13029
"전국","간","2020","심하지않은장애","남자",9165
"전국","간","2020","심하지않은장애","여자",3864
"전국","간","2021","총계","소계",14433
"전국","간","2021","총계","남자",10119
"전국","간","2021","총계","여자",4314
"전국","간","2021","심한장애","소계",747
"전국","간","2021","심한장애","남자",539
"전국","간","2021","심한장애","여자",208
"전국","간","2021","심하지않은장애","소계",13686
"전국","간","2021","심하지않은장애","남자",9580
"전국","간","2021","심하지않은장애","여자",4106
"전국","간","2022","총계","소계",15066
"전국","간","2022","총계","남자",10507
"전국","간","2022","총계","여자",4559
"전국","간","2022","심한장애","소계",722
"전국","간","2022","심한장애","남자",517
"전국","간","2022","심한장애","여자",205
"전국","간","2022","심하지않은장애","소계",14344
"전국","간","2022","심하지않은장애","남자",9990
"전국","간","2022","심하지않은장애","여자",4354
"전국","안면","2019","총계","소계",2673
"전국","안면","2019","총계","남자",1559
"전국","안면","2019","총계","여자",1114
"전국","안면","2019","심한장애","소계",1415
"전국","안면","2019","심한장애","남자",820
"전국","안면","2019","심한장애","여자",595
"전국","안면","2019","심하지않은장애","소계",1258
"전국","안면","2019","심하지않은장애","남자",739
"전국","안면","2019","심하지않은장애","여자",519
"전국","안면","2020","총계","소계",2677
"전국","안면","2020","총계","남자",1550
"전국","안면","2020","총계","여자",1127
"전국","안면","2020","심한장애","소계",1412
"전국","안면","2020","심한장애","남자",812
"전국","안면","2020","심한장애","여자",600
"전국","안면","2020","심하지않은장애","소계",1265
"전국","안면","2020","심하지않은장애","남자",738
"전국","안면","2020","심하지않은장애","여자",527
"전국","안면","2021","총계","소계",2712
"전국","안면","2021","총계","남자",1582
"전국","안면","2021","총계","여자",1130
"전국","안면","2021","심한장애","소계",1398
"전국","안면","2021","심한장애","남자",803
"전국","안면","2021","심한장애","여자",595
"전국","안면","2021","심하지않은장애","소계",1314
"전국","안면","2021","심하지않은장애","남자",779
"전국","안면","2021","심하지않은장애","여자",535
"전국","안면","2022","총계","소계",2725
"전국","안면","2022","총계","남자",1596
"전국","안면","2022","총계","여자",1129
"전국","안면","2022","심한장애","소계",1386
"전국","안면","2022","심한장애","남자",790
"전국","안면","2022","심한장애","여자",596
"전국","안면","2022","심하지않은장애","소계",1339
"전국","안면","2022","심하지않은장애","남자",806
"전국","안면","2022","심하지않은장애","여자",533
"전국","장루ㆍ요루","2019","총계","소계",15290
"전국","장루ㆍ요루","2019","총계","남자",9445
"전국","장루ㆍ요루","2019","총계","여자",5845
"전국","장루ㆍ요루","2019","심한장애","소계",1441
"전국","장루ㆍ요루","2019","심한장애","남자",891
"전국","장루ㆍ요루","2019","심한장애","여자",550
"전국","장루ㆍ요루","2019","심하지않은장애","소계",13849
"전국","장루ㆍ요루","2019","심하지않은장애","남자",8554
"전국","장루ㆍ요루","2019","심하지않은장애","여자",5295
"전국","장루ㆍ요루","2020","총계","소계",15427
"전국","장루ㆍ요루","2020","총계","남자",9475
"전국","장루ㆍ요루","2020","총계","여자",5952
"전국","장루ㆍ요루","2020","심한장애","소계",1492
"전국","장루ㆍ요루","2020","심한장애","남자",933
"전국","장루ㆍ요루","2020","심한장애","여자",559
"전국","장루ㆍ요루","2020","심하지않은장애","소계",13935
"전국","장루ㆍ요루","2020","심하지않은장애","남자",8542
"전국","장루ㆍ요루","2020","심하지않은장애","여자",5393
"전국","장루ㆍ요루","2021","총계","소계",16012
"전국","장루ㆍ요루","2021","총계","남자",9856
"전국","장루ㆍ요루","2021","총계","여자",6156
"전국","장루ㆍ요루","2021","심한장애","소계",1552
"전국","장루ㆍ요루","2021","심한장애","남자",969
"전국","장루ㆍ요루","2021","심한장애","여자",583
"전국","장루ㆍ요루","2021","심하지않은장애","소계",14460
"전국","장루ㆍ요루","2021","심하지않은장애","남자",8887
"전국","장루ㆍ요루","2021","심하지않은장애","여자",5573
"전국","장루ㆍ요루","2022","총계","소계",16779
"전국","장루ㆍ요루","2022","총계","남자",10436
"전국","장루ㆍ요루","2022","총계","여자",6343
"전국","장루ㆍ요루","2022","심한장애","소계",1610
"전국","장루ㆍ요루","2022","심한장애","남자",999
"전국","장루ㆍ요루","2022","심한장애","여자",611
"전국","장루ㆍ요루","2022","심하지않은장애","소계",15169
"전국","장루ㆍ요루","2022","심하지않은장애","남자",9437
"전국","장루ㆍ요루","2022","심하지않은장애","여자",5732
"전국","뇌전증","2019","총계","소계",7054
"전국","뇌전증","2019","총계","남자",3855
"전국","뇌전증","2019","총계","여자",3199
"전국","뇌전증","2019","심한장애","소계",1810
"전국","뇌전증","2019","심한장애","남자",994
"전국","뇌전증","2019","심한장애","여자",816
"전국","뇌전증","2019","심하지않은장애","소계",5244
"전국","뇌전증","2019","심하지않은장애","남자",2861
"전국","뇌전증","2019","심하지않은장애","여자",2383
"전국","뇌전증","2020","총계","소계",7093
"전국","뇌전증","2020","총계","남자",3857
"전국","뇌전증","2020","총계","여자",3236
"전국","뇌전증","2020","심한장애","소계",1830
"전국","뇌전증","2020","심한장애","남자",1000
"전국","뇌전증","2020","심한장애","여자",830
"전국","뇌전증","2020","심하지않은장애","소계",5263
"전국","뇌전증","2020","심하지않은장애","남자",2857
"전국","뇌전증","2020","심하지않은장애","여자",2406
"전국","뇌전증","2021","총계","소계",7077
"전국","뇌전증","2021","총계","남자",3866
"전국","뇌전증","2021","총계","여자",3211
"전국","뇌전증","2021","심한장애","소계",1848
"전국","뇌전증","2021","심한장애","남자",1002
"전국","뇌전증","2021","심한장애","여자",846
"전국","뇌전증","2021","심하지않은장애","소계",5229
"전국","뇌전증","2021","심하지않은장애","남자",2864
"전국","뇌전증","2021","심하지않은장애","여자",2365
"전국","뇌전증","2022","총계","소계",7076
"전국","뇌전증","2022","총계","남자",3848
"전국","뇌전증","2022","총계","여자",3228
"전국","뇌전증","2022","심한장애","소계",1914
"전국","뇌전증","2022","심한장애","남자",1024
"전국","뇌전증","2022","심한장애","여자",890
"전국","뇌전증","2022","심하지않은장애","소계",5162
"전국","뇌전증","2022","심하지않은장애","남자",2824
"전국","뇌전증","2022","심하지않은장애","여자",2338
"서울특별시","합계","2019","총계","소계",394843
"서울특별시","합계","2019","총계","남자",228821
"서울특별시","합계","2019","총계","여자",166022
"서울특별시","합계","2019","심한장애","소계",149906
"서울특별시","합계","2019","심한장애","남자",89940
"서울특별시","합계","2019","심한장애","여자",59966
"서울특별시","합계","2019","심하지않은장애","소계",244937
"서울특별시","합계","2019","심하지않은장애","남자",138881
"서울특별시","합계","2019","심하지않은장애","여자",106056
"서울특별시","합계","2020","총계","소계",394190
"서울특별시","합계","2020","총계","남자",228386
"서울특별시","합계","2020","총계","여자",165804
"서울특별시","합계","2020","심한장애","소계",148970
"서울특별시","합계","2020","심한장애","남자",89402
"서울특별시","합계","2020","심한장애","여자",59568
"서울특별시","합계","2020","심하지않은장애","소계",245220
"서울특별시","합계","2020","심하지않은장애","남자",138984
"서울특별시","합계","2020","심하지않은장애","여자",106236
"서울특별시","합계","2021","총계","소계",392123
"서울특별시","합계","2021","총계","남자",227302
"서울특별시","합계","2021","총계","여자",164821
"서울특별시","합계","2021","심한장애","소계",147861
"서울특별시","합계","2021","심한장애","남자",88778
"서울특별시","합계","2021","심한장애","여자",59083
"서울특별시","합계","2021","심하지않은장애","소계",244262
"서울특별시","합계","2021","심하지않은장애","남자",138524
"서울특별시","합계","2021","심하지않은장애","여자",105738
"서울특별시","합계","2022","총계","소계",391859
"서울특별시","합계","2022","총계","남자",227070
"서울특별시","합계","2022","총계","여자",164789
"서울특별시","합계","2022","심한장애","소계",147334
"서울특별시","합계","2022","심한장애","남자",88393
"서울특별시","합계","2022","심한장애","여자",58941
"서울특별시","합계","2022","심하지않은장애","소계",244525
"서울특별시","합계","2022","심하지않은장애","남자",138677
"서울특별시","합계","2022","심하지않은장애","여자",105848
"서울특별시","지체","2019","총계","소계",176767
"서울특별시","지체","2019","총계","남자",99610
"서울특별시","지체","2019","총계","여자",77157
"서울특별시","지체","2019","심한장애","소계",33859
"서울특별시","지체","2019","심한장애","남자",21750
"서울특별시","지체","2019","심한장애","여자",12109
